profile,layer,channel,tau
equal,4,55,6.575873851776123
equal,4,56,5.987522602081299
equal,4,57,2.1963231563568115
equal,4,58,6.178407192230225
equal,4,59,5.953477382659912
equal,4,60,4.196371555328369
equal,4,61,4.95900297164917
equal,4,62,6.46858024597168
equal,4,63,1.5139796733856201
equal,4,64,5.632693767547607
equal,4,65,4.19301176071167
equal,4,66,4.5426025390625
equal,4,67,1.9921841621398926
equal,4,68,3.4535953998565674
equal,4,69,6.044699668884277
equal,4,70,6.358890533447266
equal,4,71,1.945089340209961
equal,4,72,6.349627494812012
equal,4,73,6.34479284286499
equal,4,74,2.111177682876587
equal,4,75,5.2953996658325195
equal,4,76,5.452691555023193
equal,4,77,2.0364990234375
equal,4,78,3.8608222007751465
equal,4,79,5.807183742523193
equal,4,80,6.268409729003906
equal,4,81,3.620201587677002
equal,4,82,5.569186687469482
equal,4,83,1.5772165060043335
equal,4,84,1.8549915552139282
equal,4,85,1.656310796737671
equal,4,86,2.430307626724243
equal,4,87,1.8738948106765747
equal,4,88,5.351858615875244
equal,4,89,1.6843881607055664
equal,4,90,1.4387766122817993
equal,4,91,1.551679015159607
equal,4,92,5.963912487030029
equal,4,93,5.499866962432861
equal,4,94,2.2176764011383057
equal,4,95,2.1871213912963867
equal,4,96,4.7023138999938965
equal,4,97,5.794883728027344
equal,4,98,6.162722110748291
equal,4,99,2.799102544784546
equal,4,100,7.191434383392334
equal,4,101,1.9233428239822388
equal,4,102,3.8635764122009277
equal,4,103,2.3389272689819336
equal,4,104,2.3318872451782227
equal,4,105,2.133788824081421
equal,4,106,3.2918190956115723
equal,4,107,2.9062819480895996
equal,4,108,1.7926812171936035
equal,4,109,2.5766091346740723
equal,4,110,5.501557350158691
equal,4,111,6.6414947509765625
equal,4,112,1.6179295778274536
equal,4,113,1.9324445724487305
equal,4,114,3.5304739475250244
equal,4,115,2.0998268127441406
equal,4,116,4.157674789428711
equal,4,117,2.5245230197906494
equal,4,118,6.2045698165893555
equal,4,119,4.446083068847656
equal,4,120,5.364871978759766
equal,4,121,6.3314361572265625
equal,4,122,2.052830457687378
equal,4,123,1.6839840412139893
equal,4,124,6.0141825675964355
equal,4,125,6.201926231384277
equal,4,126,6.445985317230225
equal,4,127,2.135394334793091
equal,4,128,5.404977321624756
reverse,1,1,3.093489408493042
reverse,1,2,5.043624401092529
reverse,1,3,3.4490253925323486
reverse,1,4,3.1380832195281982
reverse,1,5,3.5708651542663574
reverse,1,6,3.4826035499572754
reverse,1,7,4.92769193649292
reverse,1,8,3.772413492202759
reverse,1,9,3.8202598094940186
reverse,1,10,3.9464778900146484
reverse,1,11,3.8658335208892822
reverse,1,12,3.5334115028381348
reverse,1,13,4.447056770324707
reverse,1,14,4.908388614654541
reverse,1,15,4.42519998550415
reverse,1,16,3.3113272190093994
reverse,1,17,4.178770542144775
reverse,1,18,5.22900390625
reverse,1,19,4.802382469177246
reverse,1,20,3.9588754177093506
reverse,1,21,3.566298484802246
reverse,1,22,3.1769766807556152
reverse,1,23,3.6059443950653076
reverse,1,24,3.323103427886963
reverse,1,25,4.68982458114624
reverse,1,26,3.6188979148864746
reverse,1,27,3.9402921199798584
reverse,1,28,4.748109340667725
reverse,1,29,4.0802001953125
reverse,1,30,4.611730098724365
reverse,1,31,3.487241268157959
reverse,1,32,4.245330810546875
reverse,2,1,4.6988935470581055
reverse,2,2,4.618770599365234
reverse,2,3,5.312472820281982
reverse,2,4,4.693917751312256
reverse,2,5,4.477669715881348
reverse,2,6,4.750207424163818
reverse,2,7,4.020718574523926
reverse,2,8,4.715676784515381
reverse,2,9,5.2383270263671875
reverse,2,10,4.711400032043457
